Id_Itinerario,Data_It,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,2010/03/23,BT746ZV,"Via Spadari, 11, 20123 Milano, Italy",45.4636615,9.1869429,50,33,0
0,2010/03/23,BT746ZV,Via Victor Hugo,45.4640197,9.1865334,50,48,0.05
0,2010/03/23,BT746ZV,Via Armorari,45.4646376,9.1854203,50,44,0.11
0,2010/03/23,BT746ZV,Piazza Tommaso Edison,45.4644039,9.1843882,90,80,0.09
0,2010/03/23,BT746ZV,Via della Posta,45.4642194,9.1831201,50,52,0.1
0,2010/03/23,BT746ZV,Via Santa Maria Fulcorina,45.4649551,9.1817299,90,84,0.14
0,2010/03/23,BT746ZV,Via Santa Maria alla Porta,45.4656351,9.1806047,90,96,0.12
0,2010/03/23,BT746ZV,Via Meravigli,45.4656605,9.1804013,50,56,0.02
0,2010/03/23,BT746ZV,Via S. Giovanni sul Muro,45.4667863,9.1813366,90,83,0.14
0,2010/03/23,BT746ZV,Vicolo S. Giovanni Sul Muro,45.4664263,9.182204,50,59,0.09
0,2010/03/23,BT746ZV,Via Porlezza,45.4671337,9.182482,50,46,0.09
1,2010/03/25,BT746ZV,"Via Porlezza, 4, 20123 Milano, Italy",45.4671337,9.182482,50,30,0
1,2010/03/25,BT746ZV,Via Manfredo Camperio,45.467221,9.1827853,90,99,0.03
1,2010/03/25,BT746ZV,Via Manfredo Camperio,45.4658439,9.1836584,90,91,0.17
1,2010/03/25,BT746ZV,Via Meravigli,45.4656605,9.1804013,130,132,0.26
1,2010/03/25,BT746ZV,Corso Magenta,45.4659213,9.1756616,130,131,0.38
1,2010/03/25,BT746ZV,Via Giosuè Carducci,45.4678776,9.1768556,130,120,0.24
1,2010/03/25,BT746ZV,Piazzale Luigi Cadorna,45.4679104,9.1773343,90,87,0.04
1,2010/03/25,BT746ZV,Foro Buonaparte,45.4679445,9.1820176,90,84,0.38
1,2010/03/25,BT746ZV,Foro Buonaparte,45.4685713,9.1826402,50,58,0.12
1,2010/03/25,BT746ZV,Via Cusani,45.4689505,9.1853539,90,92,0.22
1,2010/03/25,BT746ZV,Via dell'Orso,45.4691786,9.1882506,50,54,0.23
1,2010/03/25,BT746ZV,Via Giuseppe Verdi,45.4674588,9.1900112,50,47,0.24
1,2010/03/25,BT746ZV,Via Alessandro Manzoni,45.4697657,9.1924709,90,91,0.32
