Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,CO628TM,"Piazza Sant'Alessandro, 3, 20123 Milano, Italy",45.4607023,9.1863558,50,12,0
0,CO628TM,Via della Palla,45.4612204,9.1864281,90,96,0.06
0,CO628TM,Via Lupetta,45.4617521,9.186537,90,89,0.06
0,CO628TM,Via degli Arcimboldi,45.4620434,9.1874254,50,58,0.08
0,CO628TM,Via dell'Unione,45.4611826,9.1879378,50,53,0.1
0,CO628TM,Piazza Giuseppe Missori,45.4611221,9.1883402,50,49,0.03
0,CO628TM,Piazza Giuseppe Missori,45.4604349,9.1885149,50,58,0.08
0,CO628TM,Corso di Porta Romana,45.4576026,9.193402,90,92,0.49
0,CO628TM,Via Francesco Sforza,45.4632066,9.1987455,50,51,0.75
0,CO628TM,Via Uberto Visconti di Modrone,45.4669948,9.2005457,50,46,0.46
0,CO628TM,Via S. Damiano,45.4687976,9.1992396,90,96,0.23
0,CO628TM,Via Senato,45.4722757,9.1952014,50,55,0.5
0,CO628TM,Via Fatebenefratelli,45.4728242,9.1927768,50,59,0.2
0,CO628TM,Via dei Giardini,45.4702798,9.1920202,90,94,0.3
0,CO628TM,Via Monte di Pietà,45.4691786,9.1882506,50,54,0.33
0,CO628TM,Via Giuseppe Verdi,45.4674588,9.1900112,90,97,0.24
0,CO628TM,Piazza della Scala,45.4669622,9.1893594,130,139,0.07
0,CO628TM,Via Santa Margherita,45.4665738,9.1889772,90,96,0.05
0,CO628TM,Via Silvio Pellico,45.4657372,9.189253,50,55,0.1
1,CO628TM,"Via Silvio Pellico, 8, 20121 Milano, Italy",45.4657372,9.189253,50,37,0
1,CO628TM,Via Silvio Pellico,45.4651526,9.1892549,90,86,0.07
1,CO628TM,Via Carlo Cattaneo,45.4651448,9.1885629,50,50,0.05
1,CO628TM,Via Giuseppe Mengoni,45.4660339,9.1884904,50,45,0.1
1,CO628TM,Via Santa Margherita,45.4669622,9.1893594,50,47,0.12
1,CO628TM,Piazza della Scala,45.4674588,9.1900112,50,40,0.07
1,CO628TM,Via Alessandro Manzoni,45.4722757,9.1952014,50,53,0.67
1,CO628TM,Via Fatebenefratelli,45.4729602,9.1879209,90,84,0.59
1,CO628TM,Via Pontaccio,45.4720908,9.1839051,90,98,0.33
1,CO628TM,Via Tivoli,45.4717748,9.182273,130,138,0.13
1,CO628TM,Foro Buonaparte,45.4684627,9.1825364,90,81,0.41
1,CO628TM,Largo Cairoli,45.4679386,9.1781434,90,98,0.39
1,CO628TM,Piazzale Luigi Cadorna,45.4682641,9.1775069,130,124,0.06
1,CO628TM,Piazzale Luigi Cadorna,45.4679864,9.1767964,90,94,0.09
1,CO628TM,Via Giosuè Carducci,45.4614926,9.1734501,130,131,0.78
1,CO628TM,Via Edmondo de Amicis,45.4573868,9.1809168,130,125,0.74
1,CO628TM,Via Molino delle Armi,45.4566123,9.1843124,130,124,0.28
1,CO628TM,Via della Chiusa,45.4587773,9.1846379,90,96,0.25
1,CO628TM,Via Olmetto,45.4601392,9.1863898,50,48,0.21
1,CO628TM,Via Amedei,45.4607018,9.1863452,50,46,0.06
2,CO628TM,"Piazza Sant'Alessandro, 3, 20123 Milano, Italy",45.4607023,9.1863558,50,7,0
2,CO628TM,Via della Palla,45.4612204,9.1864281,50,40,0.06
2,CO628TM,Via Lupetta,45.4617521,9.186537,90,89,0.06
2,CO628TM,Via degli Arcimboldi,45.4620434,9.1874254,50,41,0.08
2,CO628TM,Via dell'Unione,45.4611826,9.1879378,90,89,0.1
2,CO628TM,Piazza Giuseppe Missori,45.4611221,9.1883402,50,52,0.03
2,CO628TM,Piazza Giuseppe Missori,45.4604349,9.1885149,50,51,0.08
2,CO628TM,Corso di Porta Romana,45.4576026,9.193402,50,44,0.49
2,CO628TM,Via Francesco Sforza,45.4632066,9.1987455,50,40,0.75
2,CO628TM,Via Uberto Visconti di Modrone,45.4669948,9.2005457,90,88,0.46
2,CO628TM,Corso Monforte,45.4668071,9.1977978,130,137,0.22
2,CO628TM,Corso Giacomo Matteotti,45.4669519,9.1937582,90,83,0.32
2,CO628TM,Piazza Filippo Meda,45.4669161,9.193467,50,40,0.02
3,CO628TM,"Corso Giacomo Matteotti, 4, 20121 Milano, Italy",45.4669161,9.193467,50,12,0
3,CO628TM,Via Pietro Verri,45.4669519,9.1937582,90,89,0.02
3,CO628TM,Corso Giacomo Matteotti,45.4668071,9.1977978,90,92,0.32
3,CO628TM,Corso Venezia,45.4706215,9.2010583,130,138,0.5
3,CO628TM,Via Gabrio Serbelloni,45.4701835,9.201619,90,80,0.07
3,CO628TM,Via Cappuccini,45.4706187,9.2053914,90,83,0.3
3,CO628TM,Viale Luigi Majno,45.4679042,9.2057157,50,49,0.3
3,CO628TM,Viale Bianca Maria,45.4626628,9.2065323,50,40,0.59
3,CO628TM,Piazza Cinque Giornate,45.461855,9.206676,50,47,0.09
3,CO628TM,Viale Regina Margherita,45.4574338,9.2044867,50,42,0.53
3,CO628TM,Viale Emilio Caldara,45.4524748,9.2018663,50,52,0.59
3,CO628TM,Corso di Porta Romana,45.4585082,9.1918751,90,82,1.03
3,CO628TM,Via Lentasio,45.4575097,9.1900583,50,43,0.19
3,CO628TM,Via Sant'Eufemia,45.4574924,9.189962,50,59,0.01
4,CO628TM,"Via Sant'Eufemia, 2, 20122 Milano, Italy",45.4574924,9.189962,50,12,0
4,CO628TM,Corso Italia,45.4573991,9.187553,50,40,0.19
4,CO628TM,Corso Italia,45.4560254,9.1873985,50,51,0.15
4,CO628TM,Via Santa Sofia,45.4576026,9.193402,50,55,0.51
4,CO628TM,Corso di Porta Romana,45.4604349,9.1885149,50,47,0.49
4,CO628TM,Piazza Giuseppe Missori,45.4612105,9.1884206,50,46,0.1
4,CO628TM,Via Maurizio Gonzaga,45.4620303,9.1897553,90,95,0.14
4,CO628TM,Via Guglielmo Marconi,45.4632419,9.1899345,50,45,0.2
4,CO628TM,Via Dogana,45.4633101,9.1885159,50,47,0.11
Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,Targa,"Piazza S. Sepolcro, 20123 Milano, Italy",45.4629006,9.1853479,50,10,0
0,Targa,Piazza S. Sepolcro,45.4629006,9.1853479,50,44,0.0
1,Targa,"Piazza S. Sepolcro, 20123 Milano, Italy",45.4629006,9.1853479,50,22,0
1,Targa,Via Cardinal Federico,45.4628651,9.1855118,50,57,0.01
1,Targa,Via Cardinal Federico,45.4631899,9.1859768,50,40,0.05
1,Targa,Via delle Asole,45.4625928,9.1868609,90,86,0.1
1,Targa,Via Torino,45.4637355,9.188277,90,91,0.17
1,Targa,Piazza del Duomo,45.4647005,9.1885516,90,87,0.14
1,Targa,Via Giuseppe Mengoni,45.4660339,9.1884904,90,81,0.15
1,Targa,Via Santa Margherita,45.4665738,9.1889772,50,50,0.07
1,Targa,Via Silvio Pellico,45.4649456,9.1892682,50,43,0.19
2,Targa,"Piazza del Duomo, Milano, Italy",45.4632665,9.1898471,50,28,0
2,Targa,Via Guglielmo Marconi,45.4632419,9.1899345,50,53,0.01
2,Targa,Via Guglielmo Marconi,45.4627078,9.1899317,90,88,0.06
2,Targa,Via Flavio Baracchini,45.4610363,9.191479,50,54,0.28
2,Targa,Via Larga,45.4607712,9.1909982,50,56,0.05
2,Targa,Via Alberico Albricci,45.4610617,9.1894791,50,45,0.12
3,Targa,"Via Alberico Albricci, 3, 20122 Milano, Italy",45.4610617,9.1894791,50,42,0
3,Targa,Via Maurizio Gonzaga,45.4613035,9.1887147,90,86,0.07
3,Targa,Via Maurizio Gonzaga,45.4612105,9.1884206,130,133,0.03
3,Targa,Via Giuseppe Mazzini,45.4611221,9.1883402,90,84,0.01
3,Targa,Piazza Giuseppe Missori,45.4604349,9.1885149,50,53,0.08
3,Targa,Corso di Porta Romana,45.4576026,9.193402,50,45,0.49
3,Targa,Via Francesco Sforza,45.4632066,9.1987455,50,54,0.75
3,Targa,Via Uberto Visconti di Modrone,45.4669948,9.2005457,50,43,0.46
3,Targa,Corso Monforte,45.4668071,9.1977978,90,85,0.22
3,Targa,Corso Giacomo Matteotti,45.4669519,9.1937582,50,45,0.32
3,Targa,Piazza Filippo Meda,45.4669161,9.193467,50,44,0.02
4,Targa,"Corso Giacomo Matteotti, 4, 20121 Milano, Italy",45.4669161,9.193467,50,10,0
4,Targa,Via Adalberto Catena,45.4667327,9.1928391,50,51,0.05
4,Targa,Via S. Paolo,45.4654893,9.1936174,50,40,0.15
4,Targa,Via Agnello,45.4657967,9.192143,50,57,0.14
Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,Targa,"Via Gesù, 6, 20121 Milano, Italy",45.4693857,9.1950161,50,23,0
0,Targa,Via della Spiga,45.470363,9.1966091,90,82,0.17
0,Targa,Via della Spiga,45.4708146,9.1960759,90,82,0.07
0,Targa,Via Santo Spirito,45.4694179,9.1938481,50,43,0.23
0,Targa,Via Monte Napoleone,45.4700351,9.1927897,50,46,0.11
