Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,AY385UK,"Milan, Italy",45.4654122,9.185966,50,30,0
0,AY385UK,Piazza Cordusio,45.4652391,9.1862011,50,53,0.03
0,AY385UK,Via Orefici,45.4636062,9.1884997,50,56,0.26
0,AY385UK,Piazza del Duomo,45.4647005,9.1885516,50,40,0.12
0,AY385UK,Via Giuseppe Mengoni,45.4660339,9.1884904,50,53,0.15
0,AY385UK,Via Santa Margherita,45.4655955,9.1881499,50,41,0.06
1,AY385UK,"Via Tommaso Grossi, 20121 Milano, Italy",45.4655955,9.1881499,50,19,0
1,AY385UK,Via S. Protaso,45.4669622,9.1893594,90,90,0.18
1,AY385UK,Piazza della Scala,45.4674588,9.1900112,90,88,0.07
1,AY385UK,Via Alessandro Manzoni,45.4723891,9.1953639,130,130,0.69
1,AY385UK,Via Palestro,45.4718413,9.2024356,130,125,0.61
1,AY385UK,Corso Venezia,45.4706215,9.2010583,90,99,0.17
1,AY385UK,Via Gabrio Serbelloni,45.4690904,9.2021458,90,98,0.19
1,AY385UK,Via Mozart,45.4693869,9.2039449,50,48,0.14
1,AY385UK,Via Vivaio,45.4675633,9.2045413,90,84,0.21
1,AY385UK,Corso Monforte,45.4667857,9.1990612,90,91,0.44
1,AY385UK,Via Cino del Duca,45.4657696,9.199331,90,87,0.12
1,AY385UK,Via Borgogna,45.46581,9.1985004,130,129,0.07
1,AY385UK,Largo Arturo Toscanini,45.4658486,9.1976273,90,89,0.07
1,AY385UK,Corso Europa,45.4636145,9.1958035,130,129,0.29
1,AY385UK,Largo dei Bersaglieri,45.4630655,9.194874,130,121,0.1
1,AY385UK,Piazza Fontana,45.4629669,9.1949855,90,94,0.01
1,AY385UK,Via Larga,45.4621546,9.193161,50,54,0.17
2,AY385UK,"Via Larga, 8, 20122 Milano, Italy",45.4621546,9.193161,50,14,0
2,AY385UK,Via Palazzo Reale,45.4607712,9.1909982,50,47,0.23
2,AY385UK,Via Alberico Albricci,45.4605652,9.1908427,50,41,0.03
2,AY385UK,Piazza Velasca,45.4597857,9.1897773,90,80,0.12
2,AY385UK,Corso di Porta Romana,45.4576026,9.193402,50,53,0.37
2,AY385UK,Via Francesco Sforza,45.4632066,9.1987455,50,53,0.75
2,AY385UK,Via Uberto Visconti di Modrone,45.4669948,9.2005457,50,41,0.46
2,AY385UK,Via S. Damiano,45.4687976,9.1992396,50,53,0.23
2,AY385UK,Via Senato,45.4722757,9.1952014,90,85,0.5
2,AY385UK,Via Fatebenefratelli,45.4729602,9.1879209,50,55,0.59
2,AY385UK,Via Pontaccio,45.4720908,9.1839051,50,57,0.33
2,AY385UK,Via Mercato,45.4701887,9.1848271,50,45,0.23
2,AY385UK,Via Ponte Vetero,45.4689505,9.1853539,90,89,0.14
2,AY385UK,Via Broletto,45.4673346,9.1857852,50,56,0.18
2,AY385UK,Via dei Bossi,45.4674269,9.1861416,50,42,0.03
3,AY385UK,"Via dei Bossi, 5, 20121 Milano, Italy",45.4674269,9.1861416,50,11,0
3,AY385UK,Via Clerici,45.467877,9.1872462,50,41,0.1
3,AY385UK,Via del Lauro,45.4685489,9.1854311,90,92,0.22
3,AY385UK,Via Ponte Vetero,45.4701887,9.1848271,50,54,0.19
3,AY385UK,Via Mercato,45.4720908,9.1839051,50,52,0.23
3,AY385UK,Via Tivoli,45.4717748,9.182273,90,86,0.13
3,AY385UK,Foro Buonaparte,45.4684627,9.1825364,130,132,0.41
3,AY385UK,Largo Cairoli,45.4679386,9.1781434,130,126,0.39
3,AY385UK,Piazzale Luigi Cadorna,45.4682641,9.1775069,90,84,0.06
3,AY385UK,Piazzale Luigi Cadorna,45.4679864,9.1767964,130,125,0.09
3,AY385UK,Via Giosuè Carducci,45.4614926,9.1734501,130,126,0.78
3,AY385UK,Via Edmondo de Amicis,45.4573868,9.1809168,90,89,0.74
3,AY385UK,Via Molino delle Armi,45.4560254,9.1873985,50,54,0.53
3,AY385UK,Via Santa Sofia,45.4569516,9.1903423,50,46,0.25
4,AY385UK,"Via Santa Sofia, 20122 Milano, Italy",45.4569516,9.1903423,50,3,0
4,AY385UK,Via S. Calimero,45.4576026,9.193402,90,98,0.25
4,AY385UK,Via Francesco Sforza,45.4632066,9.1987455,50,56,0.75
4,AY385UK,Via Uberto Visconti di Modrone,45.4669948,9.2005457,50,50,0.46
4,AY385UK,Corso Monforte,45.4668071,9.1977978,50,50,0.22
4,AY385UK,Corso Giacomo Matteotti,45.4669519,9.1937582,90,90,0.32
4,AY385UK,Piazza Filippo Meda,45.4667327,9.1928391,50,51,0.08
4,AY385UK,Via S. Paolo,45.4654893,9.1936174,90,81,0.15
4,AY385UK,Via Agnello,45.4661243,9.1916334,50,43,0.2
4,AY385UK,Via Ragazzi del '99,45.4658637,9.1912943,50,57,0.04
