Id_Itinerario,Data_It,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,2010/03/21,BT746ZV,"Piazza del Carmine, 2, 20121 Milano, Italy",45.4701887,9.1848271,50,2,0
0,2010/03/21,BT746ZV,Via Cusani,45.4689505,9.1853539,90,98,0.14
0,2010/03/21,BT746ZV,Via dell'Orso,45.4691786,9.1882506,130,120,0.23
0,2010/03/21,BT746ZV,Via Giuseppe Verdi,45.4674588,9.1900112,90,85,0.24
0,2010/03/21,BT746ZV,Piazza della Scala,45.4669622,9.1893594,130,132,0.07
0,2010/03/21,BT746ZV,Via Santa Margherita,45.4665738,9.1889772,90,97,0.05
0,2010/03/21,BT746ZV,Via Silvio Pellico,45.4649456,9.1892682,50,42,0.19
1,2010/03/30,BT746ZV,"Piazza del Duomo, Milano, Italy",45.4632665,9.1898471,50,32,0
1,2010/03/30,BT746ZV,Via Guglielmo Marconi,45.4632419,9.1899345,90,99,0.01
1,2010/03/30,BT746ZV,Via Guglielmo Marconi,45.4627078,9.1899317,50,49,0.06
1,2010/03/30,BT746ZV,Via Maurizio Gonzaga,45.4612105,9.1884206,90,86,0.23
1,2010/03/30,BT746ZV,Via Giuseppe Mazzini,45.4611221,9.1883402,90,89,0.01
1,2010/03/30,BT746ZV,Piazza Giuseppe Missori,45.4605761,9.1883452,90,83,0.06
1,2010/03/30,BT746ZV,Corso Italia,45.4544659,9.1870954,90,97,0.69
1,2010/03/30,BT746ZV,Via S. Luca,45.4547028,9.184081,50,55,0.24
1,2010/03/30,BT746ZV,Via Calatafimi,45.4535518,9.1837515,50,54,0.14
1,2010/03/30,BT746ZV,Via Sambuco,45.4529391,9.1808227,90,99,0.24
1,2010/03/30,BT746ZV,Piazza XXIV Maggio,45.4530464,9.1792373,50,57,0.13
1,2010/03/30,BT746ZV,Viale Gabriele D'Annunzio,45.4540821,9.1759025,90,86,0.32
1,2010/03/30,BT746ZV,Via Gaetano Ronzoni,45.4548095,9.1769525,90,96,0.12
1,2010/03/30,BT746ZV,Via Conca del Naviglio,45.4557544,9.177781,90,82,0.17
1,2010/03/30,BT746ZV,Via Conca del Naviglio,45.4583114,9.178078,50,54,0.29
1,2010/03/30,BT746ZV,Corso Genova,45.458614,9.177585,90,84,0.05
1,2010/03/30,BT746ZV,Via Cesare Correnti,45.4590508,9.1782201,50,49,0.07
1,2010/03/30,BT746ZV,Via Gian Giacomo Mora,45.4589532,9.1803713,50,57,0.17
2,2010/03/31,BT746ZV,"Via Gian Giacomo Mora, 3, 20123 Milano, Italy",45.4589532,9.1803713,50,6,0
2,2010/03/31,BT746ZV,Corso di Porta Ticinese,45.459032,9.18114,50,59,0.06
2,2010/03/31,BT746ZV,Corso di Porta Ticinese,45.4602448,9.1813183,50,51,0.14
2,2010/03/31,BT746ZV,Via Torino,45.4637355,9.188277,50,41,0.7
2,2010/03/31,BT746ZV,Piazza del Duomo,45.4647005,9.1885516,90,86,0.14
2,2010/03/31,BT746ZV,Via Giuseppe Mengoni,45.4660339,9.1884904,90,83,0.15
2,2010/03/31,BT746ZV,Via Santa Margherita,45.4669622,9.1893594,50,47,0.12
2,2010/03/31,BT746ZV,Piazza della Scala,45.4674588,9.1900112,90,82,0.07
2,2010/03/31,BT746ZV,Via Alessandro Manzoni,45.4722757,9.1952014,130,133,0.67
2,2010/03/31,BT746ZV,Via Fatebenefratelli,45.4729602,9.1879209,90,84,0.59
2,2010/03/31,BT746ZV,Via Pontaccio,45.4720908,9.1839051,90,89,0.33
2,2010/03/31,BT746ZV,Via Tivoli,45.4717748,9.182273,90,95,0.13
2,2010/03/31,BT746ZV,Foro Buonaparte,45.4684627,9.1825364,90,89,0.41
2,2010/03/31,BT746ZV,Largo Cairoli,45.467629,9.1794823,50,56,0.28
2,2010/03/31,BT746ZV,Via Luigi Illica,45.4678651,9.1817464,90,91,0.19
2,2010/03/31,BT746ZV,Largo Maria Callas,45.4675382,9.1819767,90,88,0.04
2,2010/03/31,BT746ZV,Via S. Giovanni sul Muro,45.4667863,9.1813366,130,122,0.1
2,2010/03/31,BT746ZV,Vicolo S. Giovanni Sul Muro,45.4664263,9.182204,90,84,0.09
2,2010/03/31,BT746ZV,Via Porlezza,45.4671337,9.182482,50,56,0.09
3,2010/04/03,BT746ZV,"Via Porlezza, 4, 20123 Milano, Italy",45.4671337,9.182482,50,43,0
3,2010/04/03,BT746ZV,Via Porlezza,45.4671337,9.182482,50,49,0.0
4,2010/04/07,BT746ZV,"Via Porlezza, 4, 20123 Milano, Italy",45.4671337,9.182482,50,34,0
4,2010/04/07,BT746ZV,Via Manfredo Camperio,45.467221,9.1827853,50,49,0.03
4,2010/04/07,BT746ZV,Via Manfredo Camperio,45.4658439,9.1836584,50,50,0.17
4,2010/04/07,BT746ZV,Via Meravigli,45.4656605,9.1804013,50,46,0.26
4,2010/04/07,BT746ZV,Corso Magenta,45.4659213,9.1756616,50,40,0.38
4,2010/04/07,BT746ZV,Via Giosuè Carducci,45.4678776,9.1768556,90,93,0.24
4,2010/04/07,BT746ZV,Piazzale Luigi Cadorna,45.4679104,9.1773343,130,123,0.04
4,2010/04/07,BT746ZV,Piazzale Luigi Cadorna,45.4682641,9.1775069,130,128,0.05
4,2010/04/07,BT746ZV,Piazzale Luigi Cadorna,45.4679864,9.1767964,130,137,0.09
4,2010/04/07,BT746ZV,Via Giosuè Carducci,45.4614926,9.1734501,130,124,0.78
4,2010/04/07,BT746ZV,Via Edmondo de Amicis,45.4573868,9.1809168,130,139,0.74
4,2010/04/07,BT746ZV,Via Molino delle Armi,45.4560254,9.1873985,90,83,0.53
4,2010/04/07,BT746ZV,Via Santa Sofia,45.4573489,9.1925222,50,49,0.43
5,2010/04/09,BT746ZV,"Via S. Calimero, 9, 20122 Milano, Italy",45.4573588,9.1925813,50,36,0
5,2010/04/09,BT746ZV,Via S. Calimero,45.4576026,9.193402,90,92,0.07
5,2010/04/09,BT746ZV,Corso di Porta Romana,45.4585082,9.1918751,90,92,0.16
5,2010/04/09,BT746ZV,Via Lentasio,45.4575097,9.1900583,90,97,0.19
5,2010/04/09,BT746ZV,Via Sant'Eufemia,45.4573991,9.187553,130,125,0.2
5,2010/04/09,BT746ZV,Corso Italia,45.4570096,9.1875003,130,138,0.04
5,2010/04/09,BT746ZV,Via Crocefisso,45.457197,9.1844287,90,89,0.24
5,2010/04/09,BT746ZV,Via della Chiusa,45.4587773,9.1846379,130,122,0.18
5,2010/04/09,BT746ZV,Via Olmetto,45.4601392,9.1863898,130,130,0.21
5,2010/04/09,BT746ZV,Via Amedei,45.4607018,9.1863452,130,135,0.06
5,2010/04/09,BT746ZV,Piazza Sant'Alessandro,45.4612204,9.1864281,130,132,0.06
5,2010/04/09,BT746ZV,Via Lupetta,45.4617521,9.186537,90,96,0.06
5,2010/04/09,BT746ZV,Via degli Arcimboldi,45.4620434,9.1874254,90,81,0.08
5,2010/04/09,BT746ZV,Via dell'Unione,45.4614195,9.1877434,50,59,0.07
5,2010/04/09,BT746ZV,Piazza Giuseppe Missori,45.4609126,9.1880738,50,49,0.06
6,2010/04/20,BT746ZV,"Piazza Giuseppe Missori, Milano, Italy",45.4609126,9.1880738,50,29,0
6,2010/04/20,BT746ZV,Via Zebedia,45.460489,9.1882838,90,91,0.05
6,2010/04/20,BT746ZV,Corso Italia,45.4560254,9.1873985,130,125,0.5
6,2010/04/20,BT746ZV,Via Santa Sofia,45.4576026,9.193402,130,134,0.51
6,2010/04/20,BT746ZV,Via Francesco Sforza,45.4632066,9.1987455,130,132,0.75
6,2010/04/20,BT746ZV,Via Uberto Visconti di Modrone,45.4669948,9.2005457,130,137,0.46
6,2010/04/20,BT746ZV,Via S. Damiano,45.4687976,9.1992396,90,86,0.23
6,2010/04/20,BT746ZV,Via Senato,45.4722757,9.1952014,130,126,0.5
6,2010/04/20,BT746ZV,Via Fatebenefratelli,45.4728242,9.1927768,130,121,0.2
6,2010/04/20,BT746ZV,Via dei Giardini,45.4702798,9.1920202,130,126,0.3
6,2010/04/20,BT746ZV,Via Monte di Pietà,45.4691786,9.1882506,90,81,0.33
6,2010/04/20,BT746ZV,Via Brera,45.4723183,9.1875511,50,59,0.36
7,2010/04/24,BT746ZV,"Via Fiori Chiari, 8, 20121 Milano, Italy",45.4723183,9.1875511,50,24,0
7,2010/04/24,BT746ZV,Via Borgonuovo,45.4726672,9.1895912,50,55,0.16
7,2010/04/24,BT746ZV,Via Borgonuovo,45.473149,9.1895697,90,84,0.05
7,2010/04/24,BT746ZV,Via Fatebenefratelli,45.4729602,9.1879209,130,128,0.13
7,2010/04/24,BT746ZV,Via Pontaccio,45.4720908,9.1839051,130,139,0.33
7,2010/04/24,BT746ZV,Via Mercato,45.4701887,9.1848271,90,81,0.23
7,2010/04/24,BT746ZV,Via Ponte Vetero,45.4689505,9.1853539,130,124,0.14
7,2010/04/24,BT746ZV,Via Broletto,45.4673346,9.1857852,90,90,0.18
7,2010/04/24,BT746ZV,Via dei Bossi,45.4674269,9.1861416,50,51,0.03
8,2010/04/26,BT746ZV,"Via dei Bossi, 5, 20121 Milano, Italy",45.4674269,9.1861416,50,6,0
8,2010/04/26,BT746ZV,Via Clerici,45.467877,9.1872462,90,91,0.1
8,2010/04/26,BT746ZV,Via del Lauro,45.4685489,9.1854311,50,41,0.22
8,2010/04/26,BT746ZV,Via Ponte Vetero,45.4701887,9.1848271,50,49,0.19
8,2010/04/26,BT746ZV,Via Mercato,45.4720908,9.1839051,50,43,0.23
8,2010/04/26,BT746ZV,Via Tivoli,45.4717748,9.182273,90,93,0.13
8,2010/04/26,BT746ZV,Foro Buonaparte,45.4684627,9.1825364,50,45,0.41
8,2010/04/26,BT746ZV,Largo Cairoli,45.4679386,9.1781434,50,50,0.39
8,2010/04/26,BT746ZV,Piazzale Luigi Cadorna,45.4682641,9.1775069,90,92,0.06
8,2010/04/26,BT746ZV,Piazzale Luigi Cadorna,45.4679864,9.1767964,90,92,0.09
8,2010/04/26,BT746ZV,Via Giosuè Carducci,45.4614926,9.1734501,50,52,0.78
8,2010/04/26,BT746ZV,Via Edmondo de Amicis,45.4573868,9.1809168,90,87,0.74
8,2010/04/26,BT746ZV,Via Molino delle Armi,45.4560254,9.1873985,50,52,0.53
8,2010/04/26,BT746ZV,Via Santa Sofia,45.4576026,9.193402,90,81,0.51
8,2010/04/26,BT746ZV,Corso di Porta Romana,45.4604349,9.1885149,130,125,0.49
8,2010/04/26,BT746ZV,Piazza Giuseppe Missori,45.4611221,9.1883402,130,136,0.08
8,2010/04/26,BT746ZV,Via Alberico Albricci,45.4606757,9.1908889,130,138,0.2
8,2010/04/26,BT746ZV,Via Larga,45.4628686,9.1950435,90,85,0.41
