Id_Itinerario,Data_It,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,2010/03/21,BT746ZV,"Piazza Sant'Alessandro, 3, 20123 Milano, Italy",45.4607023,9.1863558,50,30,0
0,2010/03/21,BT746ZV,Via della Palla,45.4612204,9.1864281,90,80,0.06
0,2010/03/21,BT746ZV,Via Lupetta,45.4617521,9.186537,50,42,0.06
0,2010/03/21,BT746ZV,Via degli Arcimboldi,45.4620434,9.1874254,50,56,0.08
0,2010/03/21,BT746ZV,Via dell'Unione,45.4614195,9.1877434,90,80,0.07
0,2010/03/21,BT746ZV,Piazza Giuseppe Missori,45.460489,9.1882838,50,47,0.11
0,2010/03/21,BT746ZV,Corso Italia,45.4544659,9.1870954,50,50,0.68
0,2010/03/21,BT746ZV,Via S. Luca,45.4547028,9.184081,50,56,0.24
0,2010/03/21,BT746ZV,Via Calatafimi,45.4535518,9.1837515,50,59,0.14
0,2010/03/21,BT746ZV,Via Sambuco,45.4529391,9.1808227,50,40,0.24
0,2010/03/21,BT746ZV,Piazza XXIV Maggio,45.4530464,9.1792373,50,45,0.13
0,2010/03/21,BT746ZV,Viale Gabriele D'Annunzio,45.4540821,9.1759025,50,45,0.32
0,2010/03/21,BT746ZV,Via Gaetano Ronzoni,45.4548095,9.1769525,90,90,0.12
0,2010/03/21,BT746ZV,Via Conca del Naviglio,45.4557544,9.177781,50,43,0.17
0,2010/03/21,BT746ZV,Via Conca del Naviglio,45.4585777,9.1782171,50,40,0.33
0,2010/03/21,BT746ZV,Via Edmondo de Amicis,45.4574752,9.1806572,50,42,0.23
1,2010/03/31,BT746ZV,"Corso di Porta Ticinese, 39, 20123 Milano, Italy",45.4574504,9.1807155,50,0,0
1,2010/03/31,BT746ZV,Corso di Porta Ticinese,45.4573868,9.1809168,50,57,0.02
1,2010/03/31,BT746ZV,Via Molino delle Armi,45.4560254,9.1873985,90,94,0.53
1,2010/03/31,BT746ZV,Via Santa Sofia,45.4576026,9.193402,90,83,0.51
1,2010/03/31,BT746ZV,Corso di Porta Romana,45.4604349,9.1885149,130,124,0.49
1,2010/03/31,BT746ZV,Piazza Giuseppe Missori,45.4611221,9.1883402,130,133,0.08
1,2010/03/31,BT746ZV,Via Alberico Albricci,45.4606757,9.1908889,90,93,0.2
1,2010/03/31,BT746ZV,Via Larga,45.4628686,9.1950435,50,45,0.41
1,2010/03/31,BT746ZV,Via Verziere,45.4629272,9.1970411,50,56,0.16
1,2010/03/31,BT746ZV,Largo Augusto,45.4631924,9.1976719,50,46,0.06
2,2010/04/02,BT746ZV,"Largo Augusto, 10, 20122 Milano, Italy",45.4631924,9.1976719,50,46,0
2,2010/04/02,BT746ZV,Largo Augusto,45.4634153,9.1979222,90,97,0.03
2,2010/04/02,BT746ZV,Largo Augusto,45.4635328,9.1974201,130,130,0.04
2,2010/04/02,BT746ZV,Via Durini,45.46581,9.1985004,90,98,0.28
2,2010/04/02,BT746ZV,Via Borgogna,45.465731,9.200107,90,94,0.13
2,2010/04/02,BT746ZV,Via Anselmo Ronchetti,45.4653024,9.1994637,50,59,0.09
2,2010/04/02,BT746ZV,Via Cerva,45.4657536,9.1994284,50,46,0.05
2,2010/04/02,BT746ZV,Via Borgogna,45.4657865,9.1992192,50,40,0.02
2,2010/04/02,BT746ZV,Piazza S. Babila,45.4668071,9.1977978,50,57,0.22
2,2010/04/02,BT746ZV,Corso Giacomo Matteotti,45.4669519,9.1937582,90,86,0.32
2,2010/04/02,BT746ZV,Piazza Filippo Meda,45.4667327,9.1928391,90,94,0.08
2,2010/04/02,BT746ZV,Via S. Paolo,45.4654893,9.1936174,90,98,0.15
2,2010/04/02,BT746ZV,Via Agnello,45.4661243,9.1916334,50,41,0.2
2,2010/04/02,BT746ZV,Via Ragazzi del '99,45.4658637,9.1912943,50,55,0.04
3,2010/04/11,BT746ZV,"Via S. Raffaele, 6, 20121 Milano, Italy",45.4658637,9.1912943,50,1,0
3,2010/04/11,BT746ZV,Via Agnello,45.4661243,9.1916334,50,49,0.04
3,2010/04/11,BT746ZV,Via Ulrico Hoepli,45.4666313,9.192872,90,98,0.14
3,2010/04/11,BT746ZV,Via S. Paolo,45.4667327,9.1928391,50,55,0.01
3,2010/04/11,BT746ZV,Piazza Filippo Meda,45.4669519,9.1937582,50,59,0.08
3,2010/04/11,BT746ZV,Corso Giacomo Matteotti,45.4668071,9.1977978,50,55,0.32
3,2010/04/11,BT746ZV,Corso Venezia,45.4706215,9.2010583,90,91,0.5
