Id_Itinerario,Data_It,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,2014/12/11,BZ726AE,"Via Sant'Antonio, 5, 20122 Milano, Italy",45.4616367,9.1934539,50,1,0
0,2014/12/11,BZ726AE,Largo Francesco Richini,45.4604796,9.193101,50,42,0.13
0,2014/12/11,BZ726AE,Largo Francesco Richini,45.4591469,9.1924564,90,96,0.16
0,2014/12/11,BZ726AE,Via Pantano,45.4607913,9.1914858,90,87,0.23
0,2014/12/11,BZ726AE,Via Larga,45.4608529,9.1913675,90,86,0.01
0,2014/12/11,BZ726AE,Via Larga,45.4607712,9.1909982,90,99,0.04
0,2014/12/11,BZ726AE,Via Alberico Albricci,45.4605652,9.1908427,90,86,0.03
0,2014/12/11,BZ726AE,Piazza Velasca,45.4597857,9.1897773,90,89,0.12
0,2014/12/11,BZ726AE,Corso di Porta Romana,45.4585082,9.1918751,90,95,0.22
0,2014/12/11,BZ726AE,Via Lentasio,45.4575097,9.1900583,130,132,0.19
0,2014/12/11,BZ726AE,Via Sant'Eufemia,45.4573991,9.187553,130,124,0.2
0,2014/12/11,BZ726AE,Corso Italia,45.4544659,9.1870954,130,135,0.33
0,2014/12/11,BZ726AE,Via S. Luca,45.4547028,9.184081,130,128,0.24
0,2014/12/11,BZ726AE,Via Calatafimi,45.4535518,9.1837515,90,94,0.14
0,2014/12/11,BZ726AE,Via Sambuco,45.4529391,9.1808227,90,96,0.24
0,2014/12/11,BZ726AE,Piazza XXIV Maggio,45.4530464,9.1792373,50,59,0.13
0,2014/12/11,BZ726AE,Viale Gabriele D'Annunzio,45.4540821,9.1759025,90,91,0.32
0,2014/12/11,BZ726AE,Via Gaetano Ronzoni,45.4548095,9.1769525,50,58,0.12
0,2014/12/11,BZ726AE,Via Conca del Naviglio,45.4557544,9.177781,50,41,0.17
0,2014/12/11,BZ726AE,Via Conca del Naviglio,45.4583114,9.178078,50,55,0.29
0,2014/12/11,BZ726AE,Corso Genova,45.458614,9.177585,90,97,0.05
0,2014/12/11,BZ726AE,Via Cesare Correnti,45.4590508,9.1782201,90,83,0.07
0,2014/12/11,BZ726AE,Via Caminadella,45.4595867,9.1776612,50,44,0.07
0,2014/12/11,BZ726AE,Via Orazio,45.4604294,9.1776322,50,40,0.1
0,2014/12/11,BZ726AE,Via Lanzone,45.4607204,9.1796254,90,99,0.16
0,2014/12/11,BZ726AE,Via Circo,45.4615711,9.1812449,90,81,0.19
0,2014/12/11,BZ726AE,Via Santa Marta,45.4624594,9.1835919,50,41,0.23
0,2014/12/11,BZ726AE,Via S. Maurilio,45.463135,9.1825505,90,81,0.11
0,2014/12/11,BZ726AE,Via Santa Maria Podone,45.4635676,9.1838367,130,123,0.12
0,2014/12/11,BZ726AE,Via Bocchetto,45.4641318,9.1845354,90,89,0.08
0,2014/12/11,BZ726AE,Via Moneta,45.4636607,9.1854812,130,123,0.09
0,2014/12/11,BZ726AE,Via dell'Ambrosiana,45.4629881,9.1846877,90,91,0.1
0,2014/12/11,BZ726AE,Via Zecca Vecchia,45.4625386,9.1844747,130,139,0.05
0,2014/12/11,BZ726AE,Via Fosse Ardeatine,45.4624357,9.1853463,90,82,0.07
0,2014/12/11,BZ726AE,Piazza S. Sepolcro,45.4628651,9.1855118,50,59,0.05
0,2014/12/11,BZ726AE,Via Cardinal Federico,45.4628813,9.185535,50,48,0.0
1,2014/12/15,BZ726AE,"Via Cardinal Federico, 7, 20123 Milano, Italy",45.4628813,9.185535,50,23,0
1,2014/12/15,BZ726AE,Via delle Asole,45.4631899,9.1859768,50,49,0.05
1,2014/12/15,BZ726AE,Via delle Asole,45.4625928,9.1868609,50,51,0.1
1,2014/12/15,BZ726AE,Via Torino,45.4631671,9.1875725,50,50,0.09
1,2014/12/15,BZ726AE,Via Spadari,45.4635764,9.1870511,50,53,0.06
2,2014/12/24,BZ726AE,"Via Spadari, 9, 20123 Milano, Italy",45.4635764,9.1870511,50,44,0
2,2014/12/24,BZ726AE,Via Victor Hugo,45.4640197,9.1865334,90,90,0.06
2,2014/12/24,BZ726AE,Via Armorari,45.4646376,9.1854203,90,87,0.11
2,2014/12/24,BZ726AE,Piazza Tommaso Edison,45.4644039,9.1843882,50,40,0.09
2,2014/12/24,BZ726AE,Via della Posta,45.4642194,9.1831201,90,88,0.1
2,2014/12/24,BZ726AE,Via Santa Maria Fulcorina,45.4649551,9.1817299,50,50,0.14
2,2014/12/24,BZ726AE,Via Santa Maria alla Porta,45.4656351,9.1806047,50,42,0.12
2,2014/12/24,BZ726AE,Via Meravigli,45.4656605,9.1804013,50,48,0.02
2,2014/12/24,BZ726AE,Via S. Giovanni sul Muro,45.4667863,9.1813366,50,42,0.14
2,2014/12/24,BZ726AE,Vicolo S. Giovanni Sul Muro,45.4664263,9.182204,90,82,0.09
2,2014/12/24,BZ726AE,Via Porlezza,45.467221,9.1827853,50,49,0.11
2,2014/12/24,BZ726AE,Via Manfredo Camperio,45.4670663,9.1828814,50,52,0.02
3,2014/12/25,BZ726AE,"Via Manfredo Camperio, 12, 20123 Milano, Italy",45.4670663,9.1828814,50,49,0
3,2014/12/25,BZ726AE,Via Giorgio Giulini,45.4658439,9.1836584,50,45,0.15
3,2014/12/25,BZ726AE,Via Meravigli,45.4656605,9.1804013,50,52,0.26
3,2014/12/25,BZ726AE,Corso Magenta,45.4659213,9.1756616,90,89,0.38
3,2014/12/25,BZ726AE,Via Giosuè Carducci,45.4678776,9.1768556,50,56,0.24
3,2014/12/25,BZ726AE,Piazzale Luigi Cadorna,45.4679104,9.1773343,90,95,0.04
3,2014/12/25,BZ726AE,Piazzale Luigi Cadorna,45.4682641,9.1775069,50,41,0.05
3,2014/12/25,BZ726AE,Piazzale Luigi Cadorna,45.4679864,9.1767964,90,90,0.09
3,2014/12/25,BZ726AE,Via Giosuè Carducci,45.4614926,9.1734501,50,44,0.78
3,2014/12/25,BZ726AE,Via Edmondo de Amicis,45.4573868,9.1809168,50,56,0.74
3,2014/12/25,BZ726AE,Via Molino delle Armi,45.4560254,9.1873985,50,53,0.53
3,2014/12/25,BZ726AE,Via Santa Sofia,45.4576026,9.193402,50,49,0.51
3,2014/12/25,BZ726AE,Corso di Porta Romana,45.4585082,9.1918751,50,58,0.16
3,2014/12/25,BZ726AE,Via Lentasio,45.4580534,9.1912833,50,55,0.07
4,2014/12/26,BZ726AE,"Via Lentasio, 3, 20122 Milano, Italy",45.4580534,9.1912833,50,49,0
4,2014/12/26,BZ726AE,Via S. Senatore,45.4575097,9.1900583,90,83,0.12
4,2014/12/26,BZ726AE,Via Sant'Eufemia,45.4573991,9.187553,90,95,0.2
4,2014/12/26,BZ726AE,Corso Italia,45.4544659,9.1870954,50,50,0.33
4,2014/12/26,BZ726AE,Via S. Luca,45.4547028,9.184081,90,97,0.24
4,2014/12/26,BZ726AE,Via Calatafimi,45.4535518,9.1837515,130,136,0.14
4,2014/12/26,BZ726AE,Via Sambuco,45.4529391,9.1808227,130,127,0.24
4,2014/12/26,BZ726AE,Piazza XXIV Maggio,45.4530464,9.1792373,90,85,0.13
4,2014/12/26,BZ726AE,Viale Gabriele D'Annunzio,45.4540821,9.1759025,90,99,0.32
4,2014/12/26,BZ726AE,Via Gaetano Ronzoni,45.4548095,9.1769525,50,50,0.12
4,2014/12/26,BZ726AE,Via Conca del Naviglio,45.4557544,9.177781,50,44,0.17
4,2014/12/26,BZ726AE,Via Conca del Naviglio,45.4583114,9.178078,50,53,0.29
4,2014/12/26,BZ726AE,Corso Genova,45.458614,9.177585,90,90,0.05
4,2014/12/26,BZ726AE,Via Cesare Correnti,45.4590508,9.1782201,50,55,0.07
4,2014/12/26,BZ726AE,Via Caminadella,45.4595867,9.1776612,90,84,0.07
4,2014/12/26,BZ726AE,Via Orazio,45.4604294,9.1776322,50,41,0.1
4,2014/12/26,BZ726AE,Via Lanzone,45.4604162,9.1778269,90,90,0.01
4,2014/12/26,BZ726AE,Via S. Pio V,45.4617981,9.1782533,50,50,0.18
4,2014/12/26,BZ726AE,Via Lodovico Necchi,45.4631768,9.1770762,50,53,0.19
4,2014/12/26,BZ726AE,Via Santa Valeria,45.4638216,9.1784064,90,91,0.13
4,2014/12/26,BZ726AE,Via Nirone,45.465764,9.178188,130,126,0.22
4,2014/12/26,BZ726AE,Corso Magenta,45.4656605,9.1804013,90,98,0.17
4,2014/12/26,BZ726AE,Via S. Giovanni sul Muro,45.4667863,9.1813366,50,43,0.14
4,2014/12/26,BZ726AE,Vicolo S. Giovanni Sul Muro,45.4664263,9.182204,50,54,0.09
4,2014/12/26,BZ726AE,Via Porlezza,45.4671337,9.182482,50,46,0.09
