Id_Itinerario,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
1,0,"Milan, Italy",45.4654122,9.185966,50,45,0
1,0,Piazza Cordusio,45.4652391,9.1862011,50,52,0.03
1,0,Via Orefici,45.4637355,9.188277,90,92,0.23
1,0,Via Torino,45.4602448,9.1813183,130,134,0.7
1,0,Via Cesare Correnti,45.4587903,9.1778164,130,131,0.32
1,0,Corso Genova,45.4564959,9.1744638,130,139,0.36
1,0,Via Gaudenzio Ferrari,45.4559915,9.1751728,90,82,0.08
1,0,Via Cicco Simonetta,45.4553814,9.1742194,130,139,0.1
1,0,Viale Gabriele D'Annunzio,45.4558609,9.1735542,130,121,0.07
1,0,Corso Genova,45.4530464,9.1792373,130,126,0.6
1,0,Piazza XXIV Maggio,45.4529582,9.1807409,130,126,0.12
1,0,Piazza XXIV Maggio,45.4521052,9.1801697,130,129,0.13
1,0,Corso S. Gottardo,45.4462411,9.1793823,130,120,0.66
1,0,Via Giuseppe Meda,45.4375059,9.1782824,90,92,0.97
1,0,Viale Giovanni da Cermenate,45.4376066,9.1751676,90,89,0.24
1,0,Viale Famagosta,45.4376266,9.1744461,90,81,0.06
1,0,Tangenziale ovest,44.4495059,8.8962625,90,94,130.4
1,0,A12,44.4376604,8.9399192,130,132,4.02
1,0,Via Bobbio,44.426478,8.9477706,130,122,2.58
1,0,Via Bobbio,44.4254624,8.947348,90,81,0.12
1,0,SS45,44.4229614,8.9469736,130,130,0.28
1,0,SS45,44.4054065,8.9475217,90,88,2.18
