Id_Itinerario,Id_Segmento,Data_It,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
0,0,2016/03/14,EV401BL,Corso%20Galileo%20Ferraris%2C%20110%2C%2010129%20Torino%2C%20Italy,45.0544802,7.6629814,50,4,0
0,1,2016/03/14,EV401BL,Via%20Evangelista%20Torricelli,45.0527879,7.6618145,90,100,0.21
0,2,2016/03/14,EV401BL,Corso%20Galileo%20Ferraris,45.0519438,7.6612182,50,75,0.1
0,3,2016/03/14,EV401BL,Corso%20Carlo%20e%20Nello%20Rosselli,45.0522603,7.6599663,50,65,0.1
0,4,2016/03/14,EV401BL,Via%20Gian%20Domenico%20Cassini,45.0550955,7.6619551,90,116,0.35
0,5,2016/03/14,EV401BL,Via%20Sebastiano%20Caboto,45.0559252,7.6599021,50,66,0.19
0,6,2016/03/14,EV401BL,Corso%20Alcide%20De%20Gasperi,45.0564409,7.6605136,50,77,0.07
1,0,2016/03/19,EV401BL,Corso%20Bramante%2C%2014%2C%2010134%20Torino%2C%20Italy,45.0458014,7.6632289,50,7,0
1,1,2016/03/19,EV401BL,Via%20Giordano%20Bruno,45.045038,7.664559,90,102,0.14
1,2,2016/03/19,EV401BL,Corso%20Bramante,45.0426275,7.6710218,50,85,0.59
1,3,2016/03/19,EV401BL,Via%20Nizza,45.0536333,7.6754833,50,78,1.33
1,4,2016/03/19,EV401BL,Via%20Tommaso%20Valperga%20Caluso,45.0538072,7.6762431,50,84,0.09
2,0,2016/03/18,EV401BL,Corso%20Luigi%20Einaudi%2C%204%2C%2010128%20Torino%2C%20Italy,45.0577855,7.6677914,50,41,0
2,1,2016/03/18,EV401BL,Via%20Alfonso%20Lamarmora,45.058315,7.6664241,90,125,0.12
2,2,2016/03/18,EV401BL,Corso%20Galileo%20Ferraris,45.0502226,7.6602776,90,121,1.09
2,3,2016/03/18,EV401BL,Via%20Tirreno,45.0485138,7.6638895,50,66,0.35
2,4,2016/03/18,EV401BL,Corso%20Filippo%20Turati,45.0498622,7.6655987,50,62,0.22
